Taylor Kirk
Address           Key Value         Probe Count
    0                 103              1
    1                 618              2
    2                 309              3
    3                   3              1
    4                 515              5
    5                   2              4
    6                   6              1
    7                 109              2
    8                 111              1
    9                   9              1
   10                 206             11
   11                 211              7
   12                   8              5
   13                 734              1
   14                  12              3
   15                 932             11
   16                 111              9
   17                  17              1
   18                2901              2
   19                1975              2
   20                  15              6
   21                1953             26
   22                  22              1
   23                 102             25
   24                  24              1
   25                 822             28
   26                 128              2
   27                   0              0
   28                   0              0
   29                  29              1
   30                  30              1
   31                8889              1
   32                9301              2
   33                  33              1
   34                   0              0
   35                 550              1
   36                 654              1
   37                8998              1
   38                  38              1
   39                  39              1
   40                3439              1
   41                  40              2
   42                 557              1
   43                2103              1
   44                2309              2
   45                3337              5
   46                4883              5
   47                 149              2
   48                  48              1
   49                 152              1
   50                  49              2
   51                   0              0
   52                 155              1
   53                   0              0
   54                1599              1
   55                  55              1
   56                5000              1
   57                5824              2
   58                5103              3
   59                 780              1
   60                5309              5
   61                 366              5
   62                 989              1
   63                  60              4
   64                  61              4
   65                9433              6
   66                 581              1
   67                1091              7
   68                9230              6
   69                  69              1
   70                1100              1
   71                  67              5
   72                9033              1
   73                  73              1
   74                1206              2
   75                1309              3
   76                1103              4
   77                 901              1
   78                 799              1
   79                 800              1
   80                 801              1
   81                  78              4
   82                9536             23
   83                 991             20
   84                 702              1
   85                 290              2
   86                2222             28
   87                 190              1
   88                  88              1
   89                5033              1
   90                  80             11
   91                  68             24
   92                3388              1
   93                 298              2
   94                9982              1
   95                 301              1
   96                   0              0
   97                   0              0
   98                   0              0
   99                  99              1
  100                1954              1
  101                9577              1
  102                 308              1
Total Probes: 392
